# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6 
6.275735259493148144e-01 -2.069926502941308311e-01 -1.176539352726888726e-01 -5.928662529773509604e-02 -2.524996784372708636e-02 -8.311121873966702267e-03 -1.729547060190622350e-03 -1.190881162284092033e-04
6.203600371452997475e-01 -2.091495139493564637e-01 -1.184864123693113447e-01 -5.954567415658607032e-02 -2.530987346258867232e-02 -8.320055499770134810e-03 -1.730213185921058040e-03 -1.191084792654427198e-04
6.133104912686485610e-01 -2.111930047443375535e-01 -1.192656617294125532e-01 -5.978502028940152480e-02 -2.536414197416786420e-02 -8.327731711649195845e-03 -1.730646313418886077e-03 -1.191022889585780523e-04
6.064193621532705247e-01 -2.131344487858539694e-01 -1.199997957695712048e-01 -6.000925951210761555e-02 -2.541494638896671376e-02 -8.335010918067646546e-03 -1.731100279789913633e-03 -1.191039616071028250e-04
5.996813692404564522e-01 -2.149773596109560148e-01 -1.206914968194932047e-01 -6.021966696817843134e-02 -2.546272863203728754e-02 -8.342014159489416492e-03 -1.731602202578058983e-03 -1.191168343732375913e-04
5.930914640839678453e-01 -2.167191452750047154e-01 -1.213391958819449723e-01 -6.041489039820530094e-02 -2.550652360337024582e-02 -8.348245398161979747e-03 -1.731987605517524079e-03 -1.191179237473042669e-04
5.866448177352291404e-01 -2.183645237235356529e-01 -1.219463346345922572e-01 -6.059680650743126673e-02 -2.554715893304852770e-02 -8.354008186140661485e-03 -1.732342065585102016e-03 -1.191186765959843514e-04
5.803368089423771581e-01 -2.199158365980575791e-01 -1.225145351052546738e-01 -6.076603741051256335e-02 -2.558476503010873038e-02 -8.359305828863280996e-03 -1.732659498476649823e-03 -1.191180073643419721e-04
5.741630131025646788e-01 -2.213793940537279459e-01 -1.230479778018336301e-01 -6.092478353070512886e-02 -2.562033067731518676e-02 -8.364516974614287503e-03 -1.733049686774716484e-03 -1.191307173999988554e-04
5.681191919120113232e-01 -2.227533860231392104e-01 -1.235450857981480466e-01 -6.107169156656505615e-02 -2.565294902778952890e-02 -8.369194274493813035e-03 -1.733366958759702779e-03 -1.191365498504973197e-04
5.622012836629278754e-01 -2.240408112779511407e-01 -1.240074353298309395e-01 -6.120726016728272878e-02 -2.568268442629080550e-02 -8.373315856295472995e-03 -1.733598356191145412e-03 -1.191335210756412936e-04
5.564053941406297277e-01 -2.252509252091273728e-01 -1.244405701946566384e-01 -6.133444465633919318e-02 -2.571093582071633243e-02 -8.377443949083643315e-03 -1.733911013418719350e-03 -1.191443184039070913e-04
5.507277880779701817e-01 -2.263781656175221091e-01 -1.248400888492268157e-01 -6.145005234727229926e-02 -2.573580164820155058e-02 -8.380702440073726014e-03 -1.734028278348409514e-03 -1.191307901444784443e-04
5.451648811276876838e-01 -2.274408648609828609e-01 -1.252173332013654106e-01 -6.156049330675783526e-02 -2.576050914336362740e-02 -8.384452505660146271e-03 -1.734365081589874479e-03 -1.191496526707561251e-04
5.397132323164107737e-01 -2.284292760823456447e-01 -1.255648942446676020e-01 -6.166076670902229800e-02 -2.578222198463134274e-02 -8.387416181006211724e-03 -1.734520861791445309e-03 -1.191457667014241082e-04
5.343695369469413370e-01 -2.293490197051862856e-01 -1.258856788893099043e-01 -6.175221271204381357e-02 -2.580149726681796318e-02 -8.389800456894559721e-03 -1.734555498211841178e-03 -1.191272179349165457e-04
5.291306199180497716e-01 -2.302200160317450506e-01 -1.261917725505909971e-01 -6.184157176999563466e-02 -2.582171423248727504e-02 -8.393031561515093553e-03 -1.734903947201550146e-03 -1.191534476641638654e-04
5.239934294334085418e-01 -2.310249886646584261e-01 -1.264708944590973994e-01 -6.192104915522401304e-02 -2.583861728342569386e-02 -8.395228073901708776e-03 -1.734981270182355678e-03 -1.191441263362310373e-04
5.189550310734719618e-01 -2.317801012894050161e-01 -1.267326873399589049e-01 -6.199598034710188110e-02 -2.585487174323719550e-02 -8.397514297678723705e-03 -1.735130356680405356e-03 -1.191461133102399757e-04
5.140126022061054512e-01 -2.324898653397797776e-01 -1.269792563296827659e-01 -6.206723521334314708e-02 -2.587079989818223680e-02 -8.399998580377966706e-03 -1.735380870834339444e-03 -1.191633511813183300e-04
5.091634267135950465e-01 -2.331487361691687021e-01 -1.272061021416153181e-01 -6.213178168289712477e-02 -2.588471018145682701e-02 -8.401927082046907469e-03 -1.735497738274635778e-03 -1.191635324793733491e-04
5.044048900153371706e-01 -2.337546572139130863e-01 -1.274110868802927898e-01 -6.218799995352944365e-02 -2.589564001128548398e-02 -8.402858351118362712e-03 -1.735341895170618674e-03 -1.191275066709787320e-04
4.997344743670470435e-01 -2.343460814008639925e-01 -1.276181657495817356e-01 -6.224965994625719645e-02 -2.591064196106335205e-02 -8.405807641213867976e-03 -1.735838305597513405e-03 -1.191818551404431534e-04
4.951497544187254962e-01 -2.348785389059990791e-01 -1.277979682812002693e-01 -6.229915188212933885e-02 -2.592045008308316301e-02 -8.406756697682572776e-03 -1.735747430847770813e-03 -1.191567168078005437e-04
4.906483930149188599e-01 -2.353854812251529594e-01 -1.279715248270125727e-01 -6.234865837968606161e-02 -2.593134711974911383e-02 -8.408402862102572206e-03 -1.735898032306892880e-03 -1.191655472936544759e-04
4.862281372219916520e-01 -2.358572888885621666e-01 -1.281319787264997290e-01 -6.239390589753635030e-02 -2.594103654348686033e-02 -8.409738611054149923e-03 -1.735977726346110521e-03 -1.191654843535128790e-04
4.818868145682239645e-01 -2.363002843525865426e-01 -1.282825460895615777e-01 -6.243643027289115521e-02 -2.595020513541249074e-02 -8.411037985631711345e-03 -1.736068606427427705e-03 -1.191677033460020923e-04
4.776223294835493793e-01 -2.367136833468459489e-01 -1.284220304384353639e-01 -6.247527210596770519e-02 -2.595828086509749388e-02 -8.412037780071789095e-03 -1.736087332780356096e-03 -1.191606993821067977e-04
